Stock,Previous Close,Opening Price,Post Mentions,Comment Mentions,Sentiment score,Change
AAPL,146.8,147.55,2,8,1.0,+1.76 (+1.20%)
ABB,36.02,36.77,0,1,1.0,+0.68 (+1.89%)
ABC,118.22,118.22,1,0,0,+0.22 (+0.19%)
ACB,7.21,7.22,0,2,0,-0.13 (-1.80%)
AG,12.96,12.89,1,0,0,-0.13 (-1.00%)
AGI,7.86,7.8,0,1,0,-0.07 (-0.89%)
AI,53.08,53.14,5,44,0.67,-1.72 (-3.24%)
AMC,37.24,37.78,1,0,0,-0.25 (-0.67%)
AMD,91.21,91.35,0,21,0.5,+0.94 (+1.03%)
AMT,281.6,282.25,0,1,1.0,+3.66 (+1.30%)
AMZN,3638.03,3640.0,2,5,1.0,+18.61 (+0.51%)
AOS,0.0,0.0,0,1,0,NA
AOUT,29.0,29.33,0,1,0,+1.53 (+5.28%)
AR,13.66,13.73,0,4,0.0,+0.02 (+0.15%)
ASA,0.0,0.0,0,1,0.0,NA
ASML,729.92,747.79,0,14,0.57,+18.22 (+2.50%)
ATH,63.97,63.67,0,3,0,+0.33 (+0.52%)
AVID,36.74,36.72,0,1,1.0,+0.68 (+1.85%)
AWK,164.42,164.77,0,1,0.0,+2.85 (+1.73%)
AXON,180.55,180.72,0,1,1.0,+2.48 (+1.37%)
AXP,170.9,176.53,0,1,1.0,+2.28 (+1.33%)
BA,220.87,222.97,0,1,0.0,+0.65 (+0.29%)
BABA,214.04,206.29,0,3,1.0,-7.51 (-3.51%)
BAC,37.96,38.2,1,0,0,-0.26 (-0.68%)
BB,10.38,10.38,1,1,0,-0.20 (-1.93%)
BIIB,326.36,322.1,0,2,0.5,-0.96 (-0.29%)
BP,23.63,23.79,0,1,0,-0.09 (-0.38%)
BTI,37.88,37.8,1,3,0.5,-0.20 (-0.53%)
BYD,56.23,56.61,0,2,0,-0.05 (-0.09%)
C,66.93,67.5,0,1,0,-0.22 (-0.33%)
CAT,209.16,209.5,0,2,0,+0.37 (+0.18%)
CCS,59.19,57.43,0,2,0.0,-0.51 (-0.86%)
CD,13.76,13.58,1,0,0,-0.59 (-4.29%)
CDXS,21.32,21.42,0,1,0,-0.11 (-0.52%)
CIA,0.0,0.0,0,1,0,NA
CLNY,7.98,8.11,0,1,1.0,0.00 (0.00%)
CLOV,8.62,8.35,0,1,0,-0.57 (-6.61%)
CM,113.44,113.79,0,2,1.0,+0.03 (+0.03%)
CMC,31.79,32.03,0,3,1.0,-0.71 (-2.23%)
CMO,0.0,0.0,1,0,0,NA
CMPS,36.9,36.58,0,1,0,-0.07 (-0.19%)
CO,0.0,0.0,0,2,0.5,NA
COO,0.0,0.0,1,0,0,NA
CSCO,54.54,54.89,0,1,0,+0.69 (+1.27%)
CVS,82.63,83.0,0,1,1.0,+0.64 (+0.77%)
CXW,9.55,9.5,1,0,0,+0.50 (+5.24%)
DAO,22.19,14.5,0,1,0,-9.50 (-42.81%)
DCF,0.0,0.0,0,2,0.0,NA
DFS,123.96,124.83,0,1,0,-0.95 (-0.77%)
DM,8.97,9.02,0,1,1.0,-0.10 (-1.11%)
DOOR,105.13,105.51,0,1,0.0,+2.87 (+2.73%)
EAF,10.8,10.56,1,1,0.0,-0.50 (-4.63%)
EFT,0.0,0.0,0,1,0,NA
ENTG,118.58,119.09,0,1,0,-1.25 (-1.05%)
