Stock,Post Mentions,Comment Mentions
NIO,0,15
JD,0,12
WISH,0,7
BABA,0,6
GME,1,5
EV,0,5
CCL,1,4
MSFT,0,4
ATH,0,4
CAT,0,3
AMZN,0,3
CLNE,0,3
NET,0,3
GPRO,0,3
CRSR,0,2
PHM,0,2
VRTX,0,2
BKEP,0,2
WKHS,0,2
CLF,0,2
PROG,0,2
BB,0,2
IP,0,2
ET,0,2
UI,0,2
CHWY,0,2
PYPL,0,2
TA,0,2
CLOV,0,2
SP,0,2
AMC,0,2
ORPH,1,1
AB,0,1
RCON,0,1
XL,0,1
PLD,0,1
TD,0,1
PGR,0,1
OC,0,1
MTLS,0,1
SIVB,0,1
ACTC,0,1
DPZ,0,1
GOOG,0,1
GOOGL,0,1
AI,0,1
ARMK,0,1
YETI,0,1
SPCE,0,1
ICE,0,1
DKNG,0,1
SNES,0,1
AA,0,1
AAPL,0,1
RIG,0,1
EA,0,1
MGM,0,1
MRO,0,1
ATVI,0,1
SNE,0,1
GRWG,0,1
HYFM,0,1
QS,0,1
DOW,0,1
LEAP,0,1
EXPI,0,1
NOK,0,1
WEN,0,1
AGEN,0,1
ASO,0,1
MLM,0,1
CVS,0,1
NEXT,0,1
JNJ,0,1
FLL,0,1
NYC,0,1
PEG,1,0
