stock,count
AZO,100
CE,72
DE,87
EC,67
EFF,9
ERIE,6
EXP,18
EXPE,12
FE,39
FF,44
HE,186
HI,122
IDE,25
ING,150
NC,35
OPP,9
PERI,8
PI,54
PING,23
SHI,35
SHO,38
SHOP,11
SI,97
SID,12
TH,201
XP,18
XPER,8
AP,58
BH,1
ERES,20
ES,149
INT,45
ITT,22
KE,97
KN,25
LI,105
MO,99
MU,22
MUC,14
PCH,4
PEN,13
RES,50
SITE,9
SNA,8
SNAP,8
SP,37
SPE,18
ST,164
TER,72
TT,52
TW,24
TWI,12
WIT,55
AL,120
ALE,11
ALEX,1
AR,142
AY,79
EMP,2
FR,48
FRO,37
IR,56
LE,121
MP,67
OM,114
PLAY,6
RS,67
SON,10
AB,58
ADS,18
AG,46
AME,25
CI,31
CIF,3
CR,35
CRY,1
DL,15
DLY,7
DS,48
DY,12
EA,112
EB,31
ESS,48
ET,109
FI,57
FL,8
GE,80
HEI,36
IO,70
IQ,2
KIN,49
LL,107
NCR,3
NI,46
NIQ,1
NL,34
OC,50
RY,51
RYI,10
SAM,14
SE,129
TEN,17
TU,50
UE,39
UL,68
VER,57
VERY,29
YI,27
AU,32
CHE,22
CTS,19
DUC,27
ED,98
FT,19
GH,40
HIG,6
HON,4
HONE,3
ICE,25
MAR,38
MOR,46
MOS,23
MS,22
OI,42
OIS,1
PRI,29
PRO,58
RICE,9
STL,6
TS,58
TY,38
UAL,23
WAL,9
ARES,9
LIN,18
SM,11
BL,42
AC,64
ACH,8
ACI,2
BR,36
CAP,4
CO,102
DOW,4
EL,77
GM,2
GME,1
HOL,11
LAC,11
LU,25
MARK,23
MAT,10
MBI,2
MBIN,2
MEN,33
MPA,31
NIE,15
OMP,52
PAR,26
PS,17
STIM,1
TEL,19
TELL,3
THO,31
VALU,5
WH,81
WRI,3
EV,71
EW,31
NUE,10
REV,17
RM,23
ROK,21
ROKU,5
SU,46
VIE,10
OKE,21
ASO,5
NS,49
SEAS,1
ADV,15
DEO,6
EAT,14
EOS,1
EVA,2
EXC,3
GURE,1
IRR,1
PRIM,15
PT,11
TC,21
WAT,7
COO,3
DAN,5
CHI,25
DYN,1
ESE,29
MIC,11
WOR,16
COMM,13
EDD,1
ETH,7
HT,22
ITI,26
MET,7
MG,2
MGM,1
NK,31
POST,3
STE,20
TM,4
TTP,3
UG,37
UI,17
UIS,2
WW,3
WWW,3
BOX,3
FIX,3
ICON,1
IX,5
FORD,2
NEE,13
AI,54
CEL,3
CIA,8
CL,26
EBR,4
EDI,9
ELS,7
ELSE,5
GES,12
HY,16
IGI,5
JACK,1
KEY,2
MED,10
MOV,8
NLY,26
NYT,14
ORI,3
ORIC,1
RIG,4
STOR,11
GER,15
SHOO,3
EBS,5
FB,8
FORE,6
IKT,1
KT,1
RVI,11
ARC,11
ARCH,11
CEM,1
EAR,42
EME,9
FORM,11
HES,15
PEO,21
RC,24
TISI,7
IP,27
CEN,9
CENT,9
FIF,1
HR,12
HRI,1
LOGI,4
OGI,4
THR,11
ALT,5
ELY,26
GS,19
NGS,17
OTIC,1
SOR,9
VEL,7
ASH,3
ATI,30
CAS,11
CASH,1
CIT,4
DEX,2
EMO,8
EQ,5
ESTA,1
GRA,6
GROW,6
LEE,2
NAT,6
NATI,5
OVID,5
PROG,1
ROG,1
UPS,3
ALLY,36
GL,27
LITE,6
LLY,38
TR,51
TRU,18
RELL,1
INVE,14
SUI,1
UTI,4
CRI,7
SC,20
SHIP,17
UBS,4
IRS,5
PAG,7
APPS,1
COR,6
EARN,4
IONS,13
LEA,14
MAC,1
ORA,5
POR,12
PPL,6
RP,8
SQ,1
BA,43
PROF,9
EGY,1
FRA,5
STRA,5
HEAR,3
AFT,6
AIN,24
BLE,29
BUR,1
