Stock,Previous Close,Opening Price,Post Mentions,Comment Mentions,Sentiment score,Change
AA,37.23,36.95,0,1,0,-0.17 (-0.46%)
AAIC,0.0,0.0,0,1,1.0,NA
AAPL,146.8,147.55,0,1,0,+1.76 (+1.20%)
ABBV,117.54,116.64,0,1,0.0,+0.65 (+0.55%)
AI,53.08,53.14,0,2,0,-1.72 (-3.24%)
AMD,91.21,91.35,0,1,1.0,+0.94 (+1.03%)
AMZN,3638.03,3640.0,0,6,0.67,+18.61 (+0.51%)
ATH,63.97,63.67,0,3,1.0,+0.33 (+0.52%)
BABA,214.04,206.29,0,30,0.54,-7.51 (-3.51%)
BEKE,37.95,32.67,0,1,0,-4.15 (-10.94%)
BIDU,178.49,172.65,0,1,1.0,-5.83 (-3.27%)
BILI,108.66,100.04,0,2,0.0,-13.45 (-12.38%)
BYD,56.23,56.61,0,1,1.0,-0.05 (-0.09%)
CHWY,84.67,84.18,0,1,0,+2.07 (+2.44%)
CIA,0.0,0.0,0,1,1.0,NA
COST,417.54,418.29,1,0,0,+5.89 (+1.41%)
CRSR,29.62,29.74,0,1,0.0,-0.10 (-0.34%)
CRWD,263.04,261.32,0,1,1.0,+5.92 (+2.25%)
EDU,6.4,2.47,1,4,1.0,-3.4700 (-54.22%)
EV,0.0,0.0,0,3,1.0,NA
FB,351.19,360.91,0,7,0.75,+18.60 (+5.30%)
GM,55.64,55.31,0,2,1.0,-0.70 (-1.26%)
GME,178.85,181.0,0,3,0,+1.51 (+0.84%)
GNRC,430.34,423.24,0,1,0,+3.91 (+0.91%)
GOEV,8.44,8.4,0,1,0,-0.24 (-2.84%)
GOOG,2666.57,2705.2,0,2,1.0,+89.75 (+3.37%)
GOOGL,2568.43,2608.61,1,1,0,+91.87 (+3.58%)
IBM,140.71,140.96,0,1,0.0,+0.63 (+0.45%)
IQ,12.13,11.83,0,1,1.0,-0.81 (-6.68%)
JD,75.91,72.95,0,13,1.0,-3.62 (-4.77%)
JP,1.47,1.48,0,3,0.0,+0.0484 (+3.29%)
JPM,150.93,151.48,0,1,1.0,-0.29 (-0.19%)
KDP,35.88,35.96,0,1,1.0,-0.30 (-0.84%)
LPL,10.64,10.7,1,0,0,+0.04 (+0.42%)
MRNA,323.48,330.9,0,3,0.5,+25.35 (+7.84%)
MS,95.57,96.28,0,1,1.0,-1.02 (-1.07%)
MSFT,286.14,287.37,1,4,0.67,+3.53 (+1.23%)
MWK,0.0,0.0,0,1,0,NA
NC,0.0,0.0,0,1,0,NA
NET,113.77,114.05,0,6,0.75,+3.47 (+3.05%)
NEXT,4.6,4.54,1,0,0,-0.2400 (-5.22%)
NIO,46.07,43.67,0,17,0.62,-2.08 (-4.51%)
NKLA,14.17,14.04,0,1,0,-0.18 (-1.27%)
NUE,93.85,94.95,0,1,1.0,+0.48 (+0.51%)
NVDA,195.94,196.56,1,0,0,-0.36 (-0.18%)
OI,0.0,0.0,0,1,0,NA
PEG,61.74,61.34,1,0,0,-1.55 (-2.51%)
PFE,41.47,41.12,0,1,1.0,+0.21 (+0.51%)
PLTR,22.07,22.55,0,5,0.0,-0.26 (-1.18%)
PM,97.24,96.19,0,1,0,+1.16 (+1.19%)
PYPL,303.69,305.76,0,3,1.0,+4.84 (+1.59%)
SAM,947.54,725.0,0,1,1.0,-246.54 (-26.02%)
SE,293.79,294.07,0,3,1.0,+3.88 (+1.32%)
SNAP,62.97,74.14,0,2,1.0,+15.00 (+23.82%)
SOL,7.65,7.3,0,2,1.0,-0.12 (-1.57%)
STAY,0.0,0.0,0,1,0,NA
TA,29.24,29.42,0,1,0,+1.52 (+5.20%)
TAL,20.52,8.77,1,2,1.0,-14.52 (-70.76%)
TDA,0.0,0.0,0,2,1.0,NA
TDOC,152.87,151.95,0,1,0,-1.28 (-0.84%)
TGT,257.01,257.78,0,2,1.0,+4.02 (+1.56%)
TREE,204.93,203.21,1,0,0,-7.41 (-3.62%)
TSLA,649.26,646.36,0,3,1.0,-5.88 (-0.91%)
TSM,116.56,117.65,0,1,1.0,+0.23 (+0.20%)
TWTR,69.57,72.2,0,1,1.0,+2.12 (+3.05%)
VG,14.99,14.97,0,1,1.0,-0.05 (-0.33%)
VIAC,40.87,40.98,0,1,1.0,+0.12 (+0.29%)
VIE,0.0,0.0,0,4,1.0,NA
VVI,41.67,41.6,0,1,1.0,+2.84 (+6.82%)
WBA,46.49,46.78,0,1,0,+0.04 (+0.09%)
WFC,45.03,45.1,0,1,0.0,-0.44 (-0.98%)
XPEV,43.27,41.99,0,3,1.0,-2.27 (-5.25%)
XPO,140.32,141.46,0,2,1.0,+3.30 (+2.35%)
YY,58.49,55.49,0,1,1.0,-3.49 (-5.97%)
