Stock,Opening Price,Closing Price,Post Mentions,Comment Mentions,Sentiment score
AAPL,147.55,146.8,0,2,0.0
AMC,37.78,37.24,0,1,1.0
ATH,63.67,63.97,1,1,1.0
AUTO,3.66,3.66,0,1,0.0
BABA,206.29,214.04,1,4,0
BIDU,172.65,178.49,0,1,0
BILI,100.04,108.66,0,1,0
CLF,21.3,21.07,0,1,0
DTE,116.57,116.12,1,3,1.0
EDU,2.47,6.4,1,6,0.5
FB,360.91,351.19,1,1,0.0
G,47.29,47.94,0,1,0
GME,181.0,178.85,0,1,0
HUYA,13.67,14.15,0,2,1.0
IP,58.05,57.86,0,1,0
JD,72.95,75.91,0,1,1.0
LI,31.44,32.93,0,1,0.0
M,16.98,16.96,0,1,0
MSFT,287.37,286.14,0,1,0.0
NIO,43.67,46.07,0,5,0.33
NK,0.0,0.0,0,1,0
POST,0.0,0.0,0,1,0.0
R,75.31,76.33,0,1,0
SGOC,10.87,9.87,0,1,0
STAY,0.0,0.0,0,1,0
TAL,8.77,20.52,1,10,1.0
TSLA,646.36,649.26,0,1,0
U,104.5,104.2,0,1,0
V,246.76,244.14,0,1,0
VIE,0.0,0.0,0,1,1.0
