Stock,Previous Close,Opening Price,Change,Post Mentions,Comment Mentions,Sentiment score
AAPL,146.8,147.55,+1.76 (+1.20%),0,2,0.0
AMC,37.24,37.78,-0.25 (-0.67%),0,1,1.0
AMZN,3638.03,3640.0,+18.61 (+0.51%),0,1,0
ATH,63.97,63.67,+0.33 (+0.52%),1,1,1.0
AUTO,3.66,3.66,-0.1600 (-4.37%),0,1,0.0
BABA,214.04,206.29,-7.51 (-3.51%),1,6,0
BIDU,178.49,172.65,-5.83 (-3.27%),0,1,0
BILI,108.66,100.04,-13.45 (-12.38%),0,1,0
CLF,21.07,21.3,+0.51 (+2.42%),0,2,0
DTE,116.12,116.57,-1.08 (-0.93%),1,4,1.0
EDU,6.4,2.47,-3.4700 (-54.22%),1,6,0.5
FB,351.19,360.91,+18.60 (+5.30%),1,1,0.0
G,47.94,47.29,-1.08 (-2.25%),0,1,0
GME,178.85,181.0,+1.51 (+0.84%),0,1,0
HUYA,14.15,13.67,-0.76 (-5.37%),0,2,1.0
IP,57.86,58.05,+0.22 (+0.38%),0,1,0
JD,75.91,72.95,-3.62 (-4.77%),0,1,1.0
LI,32.93,31.44,-2.65 (-8.05%),0,1,0.0
M,16.96,16.98,-0.30 (-1.77%),0,1,0
MSFT,286.14,287.37,+3.53 (+1.23%),0,1,0.0
NIO,46.07,43.67,-2.08 (-4.51%),0,5,0.33
NK,0.0,0.0,NA,0,1,0
POST,0.0,0.0,NA,0,1,0.0
R,76.33,75.31,-1.75 (-2.29%),0,1,0
SGOC,9.87,10.87,-1.10 (-11.14%),0,1,0
STAY,0.0,0.0,NA,0,1,0
TAL,20.52,8.77,-14.52 (-70.76%),1,10,1.0
TSLA,649.26,646.36,-5.88 (-0.91%),0,1,0
U,104.2,104.5,+1.30 (+1.25%),0,1,0
V,244.14,246.76,+4.88 (+2.00%),0,1,0
VIE,0.0,0.0,NA,0,1,1.0
