Stock,Previous Close,Opening Price,Post Mentions,Comment Mentions,Sentiment score,Change
AAPL,146.8,147.55,1,4,0.0,+1.76 (+1.20%)
ABC,118.22,118.22,0,1,0,+0.22 (+0.19%)
AC,0.0,0.0,0,4,1.0,NA
AI,53.08,53.14,1,1,1.0,-1.72 (-3.24%)
AMC,37.24,37.78,4,47,0.65,-0.25 (-0.67%)
AMD,91.21,91.35,3,35,0.77,+0.94 (+1.03%)
AMZN,3638.03,3640.0,0,1,0,+18.61 (+0.51%)
AP,0.0,0.0,0,1,1.0,NA
API,33.1,27.5,1,1,0,-7.09 (-21.42%)
AR,13.66,13.73,0,1,1.0,+0.02 (+0.15%)
ATH,63.97,63.67,1,5,0.75,+0.33 (+0.52%)
AUTO,3.66,3.66,0,1,0.0,-0.1600 (-4.37%)
BABA,214.04,206.29,4,34,0.83,-7.51 (-3.51%)
BB,10.38,10.38,1,3,0.5,-0.20 (-1.93%)
BBBY,29.41,30.25,1,0,0,-0.69 (-2.35%)
BCRX,16.97,16.46,0,1,0,+0.29 (+1.71%)
BEKE,37.95,32.67,0,1,1.0,-4.15 (-10.94%)
BEST,1.23,1.18,0,1,1.0,-0.0900 (-7.32%)
BIDU,178.49,172.65,0,1,0,-5.83 (-3.27%)
BILI,108.66,100.04,0,2,0,-13.45 (-12.38%)
BYD,56.23,56.61,0,1,1.0,-0.05 (-0.09%)
C,66.93,67.5,1,1,0,-0.22 (-0.33%)
CARE,0.0,0.0,1,0,0,NA
CARS,0.0,0.0,0,1,1.0,NA
CB,167.25,168.75,1,1,0,-0.35 (-0.21%)
CCIV,22.9,24.02,0,7,1.0,+1.35 (+5.90%)
CLEU,2.47,2.44,0,1,1.0,-0.0900 (-3.64%)
CLF,21.07,21.3,0,4,0,+0.51 (+2.42%)
CLNE,7.68,7.65,1,3,0,-0.08 (-1.04%)
CLOV,8.62,8.35,2,28,0.69,-0.57 (-6.61%)
CMG,1798.4,1809.0,1,0,0,+32.52 (+1.81%)
CMS,0.0,0.0,0,3,0.0,NA
COO,0.0,0.0,0,1,1.0,NA
CPA,68.74,69.89,1,0,0,+2.64 (+3.83%)
CRSR,29.62,29.74,1,23,0.71,-0.10 (-0.34%)
CVS,82.63,83.0,0,1,1.0,+0.64 (+0.77%)
DCF,0.0,0.0,2,3,1.0,NA
DLR,153.98,153.82,0,1,1.0,+0.88 (+0.57%)
DTE,114.88,114.97,1,6,0.75,+1.48 (+1.29%)
EDU,6.4,2.47,2,16,0.4,-3.4700 (-54.22%)
ESS,328.33,326.0,0,1,0,-8.36 (-2.55%)
ET,9.94,10.0,1,1,1.0,+0.06 (+0.60%)
