"AAPL,2324202190784"
"MSFT,2011382299590"
"AMZN,1759406479978"
"GOOG,1704722446806"
"GOOGL,1643422564660"
"FB,975541676138"
"TSLA,666306770968"
"TSM,607393221120"
"BABA,591433500000"
"V,504043053351"
"NVDA,480834701900"
"JPM,460940797614"
"JNJ,429421566059"
"WMT,383529713028"
"UNH,375319770145"
"MA,372947719475"
"BAC,350266453611"
"CSGP,348305465515"
"PYPL,344489001836"
"HD,332305474670"
"PG,325565995882"
"DIS,322747455645"
"ASML,288527601632"
"ADBE,275614800000"
"XOM,271623856915"
"CMCSA,257936259417"
"TM,248714079708"
"KO,233275186078"
"VZ,232381996240"
"NFLX,228582978463"
"CRM,227657100000"
"INTC,224775270000"
"CSCO,222678078677"
"LLY,222607068475"
"PFE,219121726424"
"ORCL,218027280000"
"CSX,214973118261"
"NKE,210657009976"
"NVS,207625813056"
"CVX,205801036766"
"T,205132200000"
"ABBV,202250119695"
"PEP,201096430475"
"ABT,200727372120"
"TMO,194250102377"
"AVGO,193427597526"
"MRK,192892206170"
"DHR,189767842299"
"NVO,189145803335"
"SHOP,188827971306"
"WFC,186031385403"
"ACN,185183100233"
"BHP,182557700000"
"TMUS,181679647270"
"UPS,179434181161"
"MCD,174157077886"
"COST,173750835527"
"TXN,173576246148"
"MDT,168780514177"
"SAP,166426849081"
"MS,161406088376"
"PDD,157926921814"
"QCOM,155427120000"
"UL,154985741705"
"PM,154061382153"
"SE,154026119537"
"AZN,153423681872"
"BBL,149586060000"
"BUD,149547046762"
"HON,149482256878"
"LIN,148634890283"
"BMY,147066253923"
"C,146719032899"
"RY,145630600401"
"BA,145506593019"
"CHTR,145317569816"
"UNP,144675124536"
"NEE,142901079846"
"HDB,138469960597"
"AMGN,138145760394"
"SCHW,137382603505"
"RIO,136803131803"
"LOW,135355323433"
"AXP,134802333099"
"SBUX,132423245500"
"INTU,132339462524"
"BLK,131457929230"
"RTX,131115877350"
"SNY,130803107037"
"IBM,129730579397"
"TD,128527529000"
"AMAT,126211602596"
"TTE,126210780842"
"GS,124391254203"
"HSBC,120636181698"
"SONY,120211082755"
"AMT,119857887479"
"CAT,118765732425"
"TGT,118184774594"
"JD,115427268576"
"VALE,115045416016"
"GE,114166226205"
"DEO,113256937170"
"SQ,112289355650"
"ZM,111435032861"
"MMM,111274413384"
"EL,110682125370"
"CVS,109907085871"
"NOW,109887702685"
"DE,108624475276"
"SNAP,108221809793"
"ISRG,106811977363"
"AMD,105275492466"
"LMT,105131309166"
"GSK,99661482203"
"SYK,98677801063"
"SPGI,98465466000"
"UBER,95551630083"
"BKNG,92661125279"
"ANTM,92657497100"
"BP,91811888370"
"FIS,90942963395"
"LRCX,90711623092"
"MU,90458986228"
"INFY,90370938405"
"ABNB,90336557590"
"PLD,89571714840"
"BTI,89145885252"
"PTR,88454038571"
"MRNA,88179517742"
"ZTS,88178419377"
"MDLZ,87913851954"
"MO,87503715325"
"GM,87054758909"
"CCI,84821539924"
"GILD,84631942642"
"USB,84338116686"
"ADP,83316487056"
"COP,82699109953"
"ENB,80749602588"
"TJX,80689863000"
"CI,80319144000"
"BAM,80087029798"
"FDX,79918379569"
"PNC,79720420606"
"BNS,78645730240"
"PBR,78591312592"
"CME,77543445049"
"MELI,77063459541"
"DUK,76329597004"
"DELL,76193367163"
"NIO,74806544266"
"CNI,74767697633"
"TFC,73872345408"
"SNOW,73767393000"
"NTES,72606819166"
"WBK,72189861249"
"CB,72148355853"
"SHW,71745223862"
"ATVI,71679796018"
"FISV,71656388683"
"COF,70784499196"
"BX,70782770037"
"MUFG,70546616685"
"EQIX,70133900006"
"BDX,70043636688"
"ITW,70015407548"
"EQNR,69892309966"
"MMC,69872286632"
"SAN,69250106880"
"ABB,68752197595"
"ILMN,68530210000"
"CL,68168164292"
"HCA,67870347930"
"CPNG,67691127366"
"MCO,67655952000"
"BIDU,67333634592"
"TWLO,67254643395"
"BMO,67212151796"
"TEAM,66824006797"
"NSC,65974790818"
"ICE,65871731623"
"VMW,65625538487"
"BSBR,65335278750"
"EW,65029423242"
"SO,64809352170"
"APD,64406875363"
"SNP,64216169572"
"STLA,63549285386"
"ADSK,63247227663"
"ITUB,62991569611"
"BSX,62512973066"
"ADI,61354357809"
"F,61072160223"
"BEKE,61009686353"
"D,59989280186"
"WDAY,59832514300"
"IBN,59603838766"
"ECL,59535025221"
"NOC,59309376312"
"WM,58473068055"
"BBD,58263743836"
"DASH,57718917458"
"ETN,57666935000"
"CRWD,57508319139"
"REGN,57385558811"
"HUM,57134038997"
"LFC,56868586460"
"ABEV,56731550388"
